Mã nhận dạng danh sách phát,Thêm video mới vào đầu danh sách phát,Nội dung mô tả gốc của danh sách phát,Dấu thời gian lúc tạo ảnh số 1 cho danh sách phát,1 URL của hình ảnh danh sách phát,1 Chiều cao của hình ảnh danh sách phát,1 Chiều rộng của hình ảnh danh sách phát,Tiêu đề gốc của danh sách phát,Ngôn ngữ gốc của tiêu đề danh sách phát,Dấu thời gian đã tạo danh sách phát,Dấu thời gian đã cập nhật danh sách phát,Thứ tự video trong danh sách phát,Chế độ hiển thị của danh sách phát
PLZV2nZzzIirWrXpl6UDiSWx_1HNqqH-il,Sai,#Relax #Chill,,,,,Danh sách phát nhạc thư giãn,,2023-04-19T12:11:16+00:00,2023-04-19T12:11:16+00:00,Thủ công,Riêng tư
PLZV2nZzzIirXrNAQr3uaI5xUOaywl-SqO,Sai,,,,,,Talkshow,,2023-02-09T14:55:19+00:00,2023-03-30T03:45:40+00:00,Thủ công,Riêng tư
PLZV2nZzzIirW3EsOkJPqR-SmO1hs54WET,Sai,,2023-11-30T01:57:00.025805579+00:00,https://yt3.googleusercontent.com/CoxcDRGKOBS-AVoqqKLa4XJPAa-9BDebrnUraJbSkTtWMW4Yc2YVbcXaLyO5F3JncP-528P1zA,1000,1000,Study BGM,,2022-11-10T09:27:17+00:00,2023-11-30T01:57:00+00:00,Thủ công,Riêng tư
PLZV2nZzzIirVxPIZctx7o7NKSSZ6LYsMT,Đúng,,,,,,Watch later,en_US,2022-08-26T12:26:49+00:00,2024-02-06T08:52:33+00:00,Thủ công,Riêng tư
PLZV2nZzzIirWj4cMVNSUKKwPPNXYjJzX2,Sai,,,,,,Productivity,,2022-08-23T15:34:05+00:00,2022-08-24T15:27:14+00:00,Thủ công,Riêng tư
PLZV2nZzzIirUv8fcSZRkz0PblkTM2e9l-,Sai,,,,,,Listen - Studying,,2022-08-22T09:36:59+00:00,2023-09-03T04:42:56+00:00,Thủ công,Riêng tư
PLZV2nZzzIirVktZip_Jcl6E-KPYimS92l,Sai,,,,,,Postcard,,2022-08-22T09:21:39+00:00,2023-10-21T05:56:10+00:00,Thủ công,Riêng tư
PLZV2nZzzIirVL8d8Js4ZfS9p5g-Q_xi_n,Sai,,,,,,Watch Later,,2022-08-20T14:05:47+00:00,2022-08-24T15:33:43+00:00,Thủ công,Riêng tư
PLZV2nZzzIirWfB-6igphtTJOdjHeBwehG,Sai,,,,,,Background Music,,2022-08-15T04:51:12+00:00,2023-01-24T13:51:48+00:00,Thủ công,Không công khai





